code_region,nom_region,annee,mois,date,saison,trimestre,trend_index,temp_moy_mensuelle_region,temp_max_region,temp_min_region,precipitations_mm_region,humidite_region,vent_moyen_region,insolation_region
11,Île-de-France,1956,3,1956-03-01,printemps,1,6.166666666666667,6.9625,11.9625,2.65,11.0125,74.5,4.414285714285714,10650.0
11,Île-de-France,1956,4,1956-04-01,printemps,2,6.25,8.075,13.1,3.3625,42.775,69.0,3.971428571428571,9901.5
11,Île-de-France,1956,5,1956-05-01,printemps,2,6.333333333333333,14.4125,20.0625,8.425,36.2125,,3.3285714285714287,15592.5
11,Île-de-France,1956,6,1956-06-01,ete,2,6.416666666666667,13.8375,18.05,9.7625,45.325,78.0,3.7285714285714286,8208.0
11,Île-de-France,1956,7,1956-07-01,ete,3,6.5,17.55,22.375,12.975,41.85,78.25,3.642857142857143,11160.0
11,Île-de-France,1956,8,1956-08-01,ete,3,6.583333333333333,15.45,20.6125,10.6875,80.05,75.33333333333333,4.014285714285714,11349.0
11,Île-de-France,1956,9,1956-09-01,automne,3,6.666666666666667,16.3625,21.2125,12.3,36.2625,84.0,3.4285714285714284,9898.5
11,Île-de-France,1956,10,1956-10-01,automne,4,6.75,10.2125,14.3125,6.8,50.8,87.66666666666667,3.6714285714285713,6228.0
11,Île-de-France,1956,11,1956-11-01,automne,4,6.833333333333333,4.9125,8.0875,2.1125,35.1625,89.33333333333333,3.914285714285714,3748.5
11,Île-de-France,1956,12,1956-12-01,hiver,4,6.916666666666667,5.875,7.9125,3.825,35.45,90.0,3.957142857142857,1471.5
11,Île-de-France,1957,1,1957-01-01,hiver,1,7.0,2.7125,6.0875,-0.28750000000000003,20.475,87.0,4.514285714285714,4143.0
11,Île-de-France,1957,2,1957-02-01,hiver,1,7.083333333333333,7.0,10.425,4.1875,79.4375,82.5,5.757142857142857,4633.5
11,Île-de-France,1957,3,1957-03-01,printemps,1,7.166666666666667,9.9125,14.7625,5.6,24.5375,78.0,3.9285714285714284,9031.5
11,Île-de-France,1957,4,1957-04-01,printemps,2,7.25,9.65,14.725,4.675,17.575,71.5,4.071428571428571,10683.0
11,Île-de-France,1957,5,1957-05-01,printemps,2,7.333333333333333,11.35,16.425,6.2125,24.5375,72.5,4.514285714285714,13783.5
11,Île-de-France,1957,6,1957-06-01,ete,2,7.416666666666667,17.6125,23.15,11.8125,66.725,71.5,3.057142857142857,15064.5
11,Île-de-France,1957,7,1957-07-01,ete,3,7.5,19.8,24.875,15.075,69.4625,74.33333333333333,3.642857142857143,10872.0
11,Île-de-France,1957,8,1957-08-01,ete,3,7.583333333333333,16.928571428571427,22.014285714285712,12.12857142857143,48.528571428571425,81.0,4.1000000000000005,11862.0
11,Île-de-France,1957,9,1957-09-01,automne,3,7.666666666666667,14.45,18.8875,10.5875,76.35,83.75,3.442857142857143,7618.5
11,Île-de-France,1957,10,1957-10-01,automne,4,7.75,11.0125,15.2375,7.1875,26.325,88.66666666666667,3.0142857142857147,6568.5
11,Île-de-France,1957,11,1957-11-01,automne,4,7.833333333333333,6.4625,8.7625,4.225,23.4375,84.0,3.9714285714285715,2485.5
11,Île-de-France,1957,12,1957-12-01,hiver,4,7.916666666666667,3.15,5.975,0.6,34.0625,88.0,4.014285714285714,3345.0
11,Île-de-France,1958,1,1958-01-01,hiver,1,8.0,3.675,6.625,1.175,73.3125,86.0,4.75,3939.0
11,Île-de-France,1958,2,1958-02-01,hiver,1,8.083333333333334,6.0,9.05,3.125,94.7375,87.0,4.9625,2652.0
11,Île-de-France,1958,3,1958-03-01,printemps,1,8.166666666666666,4.125,8.4625,0.6125,27.0375,74.5,4.2375,8236.5
11,Île-de-France,1958,4,1958-04-01,printemps,2,8.25,8.0375,12.625,3.575,55.025,71.75,5.025,10417.5
11,Île-de-France,1958,5,1958-05-01,printemps,2,8.333333333333334,13.7875,18.6,9.225,67.35,78.0,3.6125,10612.5
11,Île-de-France,1958,6,1958-06-01,ete,2,8.416666666666666,15.3375,20.175,10.7125,102.3125,78.0,3.375,10986.0
11,Île-de-France,1958,7,1958-07-01,ete,3,8.5,17.475,22.5875,13.05,65.9,78.66666666666667,3.3875,13255.5
11,Île-de-France,1958,8,1958-08-01,ete,3,8.583333333333334,17.614285714285714,22.214285714285715,13.9,69.95714285714286,82.25,3.257142857142857,9160.0
11,Île-de-France,1958,9,1958-09-01,automne,3,8.666666666666666,16.54285714285714,21.442857142857143,12.542857142857143,40.042857142857144,84.4,3.257142857142857,10142.0
11,Île-de-France,1958,10,1958-10-01,automne,4,8.75,11.028571428571428,14.571428571428571,8.185714285714285,44.771428571428565,89.0,3.857142857142857,6226.0
11,Île-de-France,1958,11,1958-11-01,automne,4,8.833333333333334,5.8,8.22857142857143,3.657142857142857,45.84285714285714,91.0,2.8714285714285714,2904.0
11,Île-de-France,1958,12,1958-12-01,hiver,4,8.916666666666666,5.085714285714286,7.685714285714285,2.6,64.18571428571428,86.0,4.757142857142857,3544.0
11,Île-de-France,1959,1,1959-01-01,hiver,1,9.0,2.642857142857143,5.642857142857143,-0.0857142857142857,88.01428571428572,84.0,5.085714285714286,5000.0
11,Île-de-France,1959,2,1959-02-01,hiver,1,9.083333333333334,3.2142857142857144,7.8,-0.32857142857142857,0.19999999999999998,82.0,2.3000000000000003,7186.0
11,Île-de-France,1959,3,1959-03-01,printemps,1,9.166666666666666,8.27142857142857,12.771428571428572,4.214285714285714,39.614285714285714,77.0,3.6714285714285713,8556.0
11,Île-de-France,1959,4,1959-04-01,printemps,2,9.25,10.485714285714286,15.057142857142859,6.228571428571429,67.64285714285714,74.0,4.628571428571428,9598.0
11,Île-de-France,1959,5,1959-05-01,printemps,2,9.333333333333334,14.514285714285714,19.614285714285717,9.4,17.885714285714283,70.0,3.957142857142857,14874.0
11,Île-de-France,1959,6,1959-06-01,ete,2,9.416666666666666,17.4,23.3,11.542857142857143,31.942857142857143,66.66666666666667,3.8000000000000003,17318.0
11,Île-de-France,1959,7,1959-07-01,ete,3,9.5,20.642857142857142,26.942857142857143,14.214285714285714,12.714285714285714,61.5,3.8285714285714287,20856.0
11,Île-de-France,1959,8,1959-08-01,ete,3,9.583333333333334,19.014285714285712,24.599999999999998,13.828571428571427,23.114285714285717,68.33333333333333,3.585714285714286,15178.0
11,Île-de-France,1959,9,1959-09-01,automne,3,9.666666666666666,17.685714285714287,24.514285714285712,11.228571428571428,3.2142857142857144,57.0,3.4142857142857146,17020.0
11,Île-de-France,1959,10,1959-10-01,automne,4,9.75,12.1,17.985714285714288,7.185714285714285,45.6,74.5,3.5142857142857147,11344.0
11,Île-de-France,1959,11,1959-11-01,automne,4,9.833333333333334,6.571428571428571,9.514285714285714,4.114285714285715,46.82857142857143,87.0,3.742857142857143,2694.0
11,Île-de-France,1959,12,1959-12-01,hiver,4,9.916666666666666,5.9,8.357142857142858,3.542857142857143,65.28571428571429,84.0,5.857142857142857,1652.0
11,Île-de-France,1960,1,1960-01-01,hiver,1,10.0,3.585714285714286,6.285714285714286,1.042857142857143,44.05714285714286,84.33333333333333,4.257142857142857,3316.0
11,Île-de-France,1960,2,1960-02-01,hiver,1,10.083333333333334,4.385714285714285,7.871428571428572,1.3714285714285714,37.642857142857146,80.33333333333333,4.185714285714285,4904.0
11,Île-de-France,1960,3,1960-03-01,printemps,1,10.166666666666666,8.1,12.314285714285715,4.514285714285714,51.91428571428571,79.25,3.7,8690.0
11,Île-de-France,1960,4,1960-04-01,printemps,2,10.25,9.885714285714286,14.557142857142859,5.6000000000000005,14.957142857142857,73.4,4.557142857142857,11666.0
11,Île-de-France,1960,5,1960-05-01,printemps,2,10.333333333333334,15.014285714285714,20.3,9.528571428571428,28.5,68.6,3.1571428571428575,15116.0
11,Île-de-France,1960,6,1960-06-01,ete,2,10.416666666666666,17.4,22.642857142857142,12.242857142857144,78.34285714285714,72.0,3.3000000000000003,14670.0
11,Île-de-France,1960,7,1960-07-01,ete,3,10.5,16.3,20.957142857142856,12.028571428571428,81.75714285714285,77.2,3.685714285714286,9804.0
11,Île-de-France,1960,8,1960-08-01,ete,3,10.583333333333334,16.785714285714285,21.542857142857144,12.585714285714285,85.45714285714287,81.0,3.1,10778.0
11,Île-de-France,1960,9,1960-09-01,automne,3,10.666666666666666,13.87142857142857,18.714285714285715,9.842857142857143,57.68571428571429,84.0,2.9285714285714284,9554.0
11,Île-de-France,1960,10,1960-10-01,automne,4,10.75,10.842857142857143,14.614285714285714,8.071428571428571,135.0,86.5,3.9285714285714284,5598.0
11,Île-de-France,1960,11,1960-11-01,automne,4,10.833333333333334,8.4,11.299999999999999,5.742857142857143,71.91428571428571,87.0,5.3,3618.0
11,Île-de-France,1960,12,1960-12-01,hiver,4,10.916666666666666,3.2142857142857144,5.442857142857143,1.2285714285714284,60.885714285714286,87.0,3.9285714285714284,1748.0
11,Île-de-France,1961,1,1961-01-01,hiver,1,11.0,3.3285714285714287,5.528571428571429,1.0571428571428572,67.39999999999999,87.0,4.8999999999999995,2606.0
11,Île-de-France,1961,2,1961-02-01,hiver,1,11.083333333333334,7.8428571428571425,11.87142857142857,4.371428571428572,39.385714285714286,83.33333333333333,4.485714285714286,6232.0
11,Île-de-France,1961,3,1961-03-01,printemps,1,11.166666666666666,8.571428571428571,13.814285714285715,3.6,3.2142857142857144,74.66666666666667,3.1142857142857143,12878.0
11,Île-de-France,1961,4,1961-04-01,printemps,2,11.25,12.4,17.099999999999998,8.1,39.32857142857143,77.25,3.414285714285714,9948.0
11,Île-de-France,1961,5,1961-05-01,printemps,2,11.333333333333334,12.514285714285714,17.6,7.357142857142857,51.871428571428574,70.6,4.485714285714286,13692.0
11,Île-de-France,1961,6,1961-06-01,ete,2,11.416666666666666,16.614285714285714,21.82857142857143,11.028571428571428,37.457142857142856,73.4,3.1285714285714286,14080.0
11,Île-de-France,1961,7,1961-07-01,ete,3,11.5,17.571428571428573,22.74285714285714,12.085714285714285,43.75714285714286,69.8,3.642857142857143,13982.0
11,Île-de-France,1961,8,1961-08-01,ete,3,11.583333333333334,18.214285714285715,23.74285714285714,12.457142857142857,5.914285714285714,66.66666666666667,3.6571428571428575,14572.0
11,Île-de-France,1961,9,1961-09-01,automne,3,11.666666666666666,18.414285714285715,24.24285714285714,13.299999999999999,60.971428571428575,76.2,2.9714285714285715,11068.0
11,Île-de-France,1961,10,1961-10-01,automne,4,11.75,11.757142857142856,15.557142857142859,8.328571428571427,64.57142857142857,87.25,3.8428571428571425,6632.0
11,Île-de-France,1961,11,1961-11-01,automne,4,11.833333333333334,5.8999999999999995,8.685714285714285,3.442857142857143,65.08571428571429,87.4,4.1571428571428575,2960.0
11,Île-de-France,1961,12,1961-12-01,hiver,4,11.916666666666666,4.042857142857143,6.785714285714286,1.2714285714285716,53.31428571428571,83.0,4.642857142857143,4012.0
11,Île-de-France,1962,1,1962-01-01,hiver,1,12.0,4.9,7.2,2.8,71.4,83.0,5.8,
11,Île-de-France,1962,2,1962-02-01,hiver,1,12.083333333333334,4.05,7.05,1.25,23.45,72.0,4.9,5046.0
11,Île-de-France,1962,3,1962-03-01,printemps,1,12.166666666666666,3.3,7.0,0.05000000000000002,56.25,74.0,4.75,8364.0
11,Île-de-France,1962,4,1962-04-01,printemps,2,12.25,8.4,12.5,4.6,54.3,81.0,5.0,9552.0
11,Île-de-France,1962,5,1962-05-01,printemps,2,12.333333333333334,11.0,15.6,6.6,28.4,,4.2,10896.0
11,Île-de-France,1962,7,1962-07-01,ete,3,12.5,16.3,21.8,10.9,58.9,,3.3,13476.0
11,Île-de-France,1962,8,1962-08-01,ete,3,12.583333333333334,16.6,22.8,10.6,30.1,,3.6,14814.0
11,Île-de-France,1962,9,1962-09-01,automne,3,12.666666666666666,13.8,19.7,8.3,48.8,,3.8,10548.0
